56;"9a";"TAF";"GG-AL";"K11";1;1;;
57;"9b";"TAF";"GG-AL";"K12";5;5;;
58;"4a";"GIC";"GG-AL";"K21";1;1;;
58;"4a";"GIC";"GG-AL";"K21";4;5;;
59;"4b";"GIC";"GG-AL";"K25";2;9;;
59;"4b";"GIC";"GG-AL";"K25";2;10;;
60;"SUP";"ZHN";"SU";;2;6;;
60;"SUP";"ZHN";"SU";;4;5;;
61;"9av";"GJA";"BSPM";"BSPM";2;9;;
61;"9av";"GJA";"BSPM";"BSPM";2;10;;
61;"9ev";"GJA";"BSPM";"BSPM";2;9;;
61;"9ev";"GJA";"BSPM";"BSPM";2;10;;
61;"9ed";"ZHN";"BSPK";"BSPK";2;9;;
61;"9ed";"ZHN";"BSPK";"BSPK";2;10;;
61;;;;"BSPM";2;9;;
61;;;;"BSPM";2;10;;
61;;;;"BSPK";2;9;;
61;;;;"BSPK";2;10;;
62;"SUP";"TAG";"SU";;1;3;;
62;"SUP";"TAG";"SU";;2;1;;
63;"5a";"TAG";"WIR_2";"K24";3;1;;
63;"5a";"TAG";"WIR_2";"K24";4;2;;
65;"4a";"TAG";"WIR_3";"K21";3;10;;
65;"4a";"TAG";"WIR_3";"K21";5;1;;
66;"4b";"TAG";"WIR_3";"K25";3;9;;
66;"4b";"TAG";"WIR_3";"K25";5;2;;
67;"4b";"ALB";"ITP2";"K25";2;1;;
67;"4b";"ALB";"ITP2";"K25";2;2;;
68;"4a";"ALB";"ITP2";"K21";5;5;;
68;"4a";"ALB";"ITP2";"K21";5;6;;
69;"3a";"ALB";"ITP2";"K27";2;9;;
69;"3a";"ALB";"ITP2";"K27";2;10;;
70;"3b";"ALB";"ITP2";"K26";4;3;;
70;"3b";"ALB";"ITP2";"K26";4;4;;
73;"SUP";"PLE";"SU";;1;3;;
73;"SUP";"PLE";"SU";;3;3;;
74;"3ax";"PLE";"SEW";"PR1";3;5;;
74;"3ax";"PLE";"SEW";"PR1";3;6;;
75;"3ay";"PLE";"SEW";"PR2";1;1;;
75;"3ay";"PLE";"SEW";"PR2";1;2;;
76;"3a";"PLE";"SEW";"K27";5;3;;
77;"5a";"LIB";"E";"K24";1;1;;
77;"5a";"LIB";"E";"K24";3;4;;
79;"2a";"KAF";"SYT";"K28";1;2;;
80;"2b";"KAF";"SYT";"K22";1;1;;
81;"2ay";"STD";"SYT";"HLAB";3;8;;
81;"2ay";"STD";"SYT";"HLAB";3;9;;
81;"2ay";"STD";"SYT";"HLAB";4;3;;
81;"2ay";"STD";"SYT";"HLAB";4;4;;
82;"4ax";"KUA";"SEW";"PR3";3;5;;
82;"4ax";"KUA";"SEW";"PR3";3;6;;
82;"4ax";"KUA";"SEW";"PR3";4;2;;
84;"4b";"KUA";"SEW";"K25";5;3;;
85;"SUP";"PLH";"SU";;3;1;;
85;"SUP";"PLH";"SU";;3;6;;
88;"3ay";"OFF";"ITP2";"PR2";1;5;;
89;"3bx";"OFF";"ITP2";"PR2";3;4;;
90;"3by";"OFF";"ITP2";"PR2";3;5;;
91;"SUP";"SHI";"SU";;1;1;;
91;"SUP";"SHI";"SU";;3;5;;
92;"3a";"FAJ";"Ph";"K27";2;3;;
92;"3a";"FAJ";"Ph";"NWL";4;10;;
93;"3b";"FAJ";"Ph";"K26";3;3;;
93;"3b";"FAJ";"Ph";"NWL";4;8;;
94;"3b";"STD";"SYT";"K26";1;1;;
94;"3b";"STD";"SYT";"K26";1;2;;
95;"3bx";"STD";"SYT";"HLAB";2;5;;
95;"3bx";"STD";"SYT";"HLAB";2;6;;
96;"3by";"STD";"SYT";"HLAB";5;1;;
96;"3by";"STD";"SYT";"HLAB";5;2;;
98;"9bv";"GJA";"BSPM";"BSPM";4;3;;
98;"9bv";"GJA";"BSPM";"BSPM";4;4;;
98;"9bd";"ZHN";"BSPK";"BSPK";4;3;;
98;"9bd";"ZHN";"BSPK";"BSPK";4;4;;
98;;;;"BSPM";4;3;;
98;;;;"BSPM";4;4;;
98;;;;"BSPK";4;3;;
98;;;;"BSPK";4;4;;
99;"2bd";"ZHN";"BSPK";"BSPK";2;4;;
99;"2bd";"ZHN";"BSPK";"BSPK";2;5;;
99;"2bv";"GJA";"BSPM";"BSPM";2;4;;
99;"2bv";"GJA";"BSPM";"BSPM";2;5;;
101;"SUP";"GJA";"SU";;2;6;;
101;"SUP";"GJA";"SU";;4;5;;
102;"SUP";"NED";"SU";;1;3;;
102;"SUP";"NED";"SU";;3;1;;
104;"8bx";"SUB";"D";"K04";4;3;;
104;"8bx";"SUB";"D";"K04";4;4;;
104;"8bx";"SUB";"D";"K05";5;6;;
105;"8b";"LEM";"ME";"K04";1;7;;
106;"8b";"KAB";"AL";"K04";2;4;;
106;"8b";"KAB";"AL";"K04";2;5;;
106;"8b";"KAB";"AL";"K04";3;7;;
106;"8b";"KAB";"AL";"K04";3;8;;
106;"8b";"KAB";"AL";"K04";5;3;;
107;"3a";"PEN";"E";"K27";2;6;;
107;"3a";"PEN";"E";"K27";4;8;;
108;"8b";"TAF";"H-AL";"K04";2;2;;
108;"8b";"TAF";"H-AL";"K04";4;7;;
109;"8b";"TAF";"GG-AL";"K04";1;8;;
109;"8b";"TAF";"GG-AL";"K04";4;2;;
114;"9b";"SHB";"AL";"K12";1;1;;
114;"9b";"SHB";"AL";"K12";1;7;;
114;"9b";"SHB";"AL";"K12";2;5;;
114;"9b";"SHB";"AL";"K12";3;4;;
114;"9b";"SHB";"AL";"K12";4;5;;
115;"3b";"SHB";"AL";"K26";1;3;;
115;"3b";"SHB";"AL";"K26";1;4;;
115;"3b";"SHB";"AL";"K26";2;9;;
115;"3b";"SHB";"AL";"K26";4;9;;
116;"8by";"SUB";"D";"K04";3;4;;
116;"8by";"SUB";"D";"K04";5;4;;
116;"8by";"SUB";"D";"K04";5;5;;
117;"9bx";"HEK";"SOPK";"K12";1;4;;
118;"8ax";"SCR";"D";"K13";2;5;;
118;"8ax";"SCR";"D";"K13";3;4;;
118;"8ax";"SCR";"D";"K13";3;5;;
118;"8ax";"SCR";"D";"K13";5;1;;
118;"8ax";"SCR";"D";"K13";5;2;;
119;"8ay";"HEK";"D";"K11";2;5;;
119;"8ay";"HEK";"D";"K21";3;4;;
119;"8ay";"HEK";"D";"K21";3;5;;
119;"8ay";"HEK";"D";"K13";4;3;;
119;"8ay";"HEK";"D";"K13";4;4;;
120;"4a";"OFM";"D";"K21";2;5;;
120;"4a";"OFM";"D";"K21";2;6;;
120;"4a";"OFM";"D";"K21";3;8;;
120;"4a";"OFM";"D";"K21";3;9;;
120;"4a";"OFM";"D";"K21";5;4;;
121;"9ay";"SCR";"D";"K11";1;3;;
121;"9ay";"SCR";"D";"K11";1;4;;
121;"9ay";"SCR";"D";"K11";2;3;;
121;"9ay";"SCR";"D";"K11";4;1;;
121;"9ay";"SCR";"D";"K11";4;2;;
122;"9ax";"LIB";"D";"K21";2;3;;
122;"9ax";"LIB";"D";"K21";2;4;;
122;"9ax";"LIB";"D";"K11";3;5;;
122;"9ax";"LIB";"D";"K13";4;1;;
122;"9ax";"LIB";"D";"K13";4;2;;
123;"9ax";"LIB";"SOPK";"K05";1;5;;
124;"9ay";"SCR";"SOPK";"K11";2;4;;
125;"9by";"LIB";"SOPK";"K12";4;8;;
126;"9by";"PEN";"E";"K23";4;1;;
126;"9by";"PEN";"E";"K23";5;3;;
126;"9by";"PEN";"E";"K23";5;4;;
128;"8ax";"GIC";"E";"K12";4;3;;
128;"8ax";"GIC";"E";"K13";5;3;;
128;"8ax";"GIC";"E";"K13";5;4;;
129;"8ay";"GIC";"E";"SW1";4;2;;
129;"8ay";"GIC";"E";"K01";5;1;;
129;"8ay";"GIC";"E";"K01";5;2;;
130;"8bx";"NED";"E";"K26";3;4;;
130;"8bx";"NED";"E";"K26";3;5;;
130;"8bx";"NED";"E";"K05";5;5;;
132;"3b";"SAL";"AM";"K26";1;8;;
